name,RepoSummary,Link
cabaletta/baritone,        google maps for block ,https://github.com/cabaletta/baritone
minetest/minetest,        Minetest is an open source voxel ,https://github.com/minetest/minetest
Ahmed-Al-Balochi/Libre,        Python Program that downloads ,https://github.com/Ahmed-Al-Balochi/LibreGaming
miloyip/game-programmer,        A Study Path for ,https://github.com/miloyip/game-programmer
badjware/aws-cloud-,"        Terraform module to automate the provisioning an AWS EC2 instance with a gpu to play games in the cloud using Parsec.
      ",https://github.com/badjware/aws-cloud-gaming
pateldigant/gesture-,NULL,https://github.com/pateldigant/gesture-gaming-python
marblexu/PythonPlantsVsZombies,        a simple PlantsVsZombies ,https://github.com/marblexu/PythonPlantsVsZombies
craftyjs/Crafty,        JavaScript ,https://github.com/craftyjs/Crafty
Dimbreath/GenshinData,        Repository containing the ,https://github.com/Dimbreath/GenshinData
libgdx/libgdx,        Desktop/Android/HTML5/iOS Java ,https://github.com/libgdx/libgdx
skidding/flatris,        Fast-paced two-player web ,https://github.com/skidding/flatris
ChintanTrivedi/Deep,        An FPS ,https://github.com/ChintanTrivedi/DeepGamingAI_FPS
GirlScript-Ireland/,        This repository contains folders to all the teams works for the ,https://github.com/GirlScript-Ireland/Gaming-Booster
whitehatjr/Monkey-Chunky,        A word phonic ,https://github.com/whitehatjr/Monkey-Chunky
nem0/LumixEngine,        3D C++ ,https://github.com/nem0/LumixEngine
andrewliao11/Deep-Reinforcement-Learning-Survey,"        My Exploration on Deep Reinforcement Learning Survey
      ",https://github.com/andrewliao11/Deep-Reinforcement-Learning-Survey
libratbag/piper,        GTK application to configure ,https://github.com/libratbag/piper
ellisonleao/magictools,        :video_,https://github.com/ellisonleao/magictools
flame-engine/flame,        A Flutter based ,https://github.com/flame-engine/flame
OpenEmu/OpenEmu,        ,https://github.com/OpenEmu/OpenEmu
Kavex/GameDev-Resources,         :video_,https://github.com/Kavex/GameDev-Resources
magefree/mage,        Magic Another ,https://github.com/magefree/mage
egret-labs/egret-game-library,        Egret ,https://github.com/egret-labs/egret-game-library
stride3d/stride,        Stride ,https://github.com/stride3d/stride
Gamua/Starling-Framework,        The Cross Platform ,https://github.com/Gamua/Starling-Framework
HFO4/gameboy.live,        ,https://github.com/HFO4/gameboy.live
ninjamuffin99/Funkin,        A rhythm ,https://github.com/ninjamuffin99/Funkin
SerpentAI/SerpentAI,        ,https://github.com/SerpentAI/SerpentAI
velovix/,        Code for a video series I'm making on ,https://github.com/velovix/gaming-in-go
mgba-emu/mgba,        mGBA ,https://github.com/mgba-emu/mgba
rolling-scopes-school/guessing-game,        Guessing ,https://github.com/rolling-scopes-school/guessing-game
skypjack/entt,        ,https://github.com/skypjack/entt
fufexan/nix-,        ,https://github.com/fufexan/nix-gaming
DanielThomas/ec2,        EC2 ,https://github.com/DanielThomas/ec2gaming
skywind3000/preserve-cd,        ,https://github.com/skywind3000/preserve-cd
themagpimag/retro-,NULL,https://github.com/themagpimag/retro-gaming
name5566/leaf,        A ,https://github.com/name5566/leaf
nicolasgramlich/AndEngine,        Free Android 2D OpenGL ,https://github.com/nicolasgramlich/AndEngine
cykod/Quintus,        HTML5 ,https://github.com/cykod/Quintus
HeapsIO/heaps,        Heaps : Haxe ,https://github.com/HeapsIO/heaps
bear24rw/,"         TI Intern Design Challenge 2013
      ",https://github.com/bear24rw/gamingcape
AdelKS/Linux,        Linux ,https://github.com/AdelKS/LinuxGamingGuide
Terence-D/,        Android client for the ,https://github.com/Terence-D/GamingInterfaceClientAndroid
Grasscutters/Grasscutter,        A server software reimplementation for a certain anime ,https://github.com/Grasscutters/Grasscutter
gnana1997/Gesture-,NULL,https://github.com/gnana1997/Gesture-Gaming-using-OpenCV
kitao/pyxel,        A retro ,https://github.com/kitao/pyxel
urho3d/Urho3D,        Cross-platform 2D and 3D ,https://github.com/urho3d/Urho3D
magwo/elevatorsaga,        The elevator programming ,https://github.com/magwo/elevatorsaga
google-research/football,        Check out the new ,https://github.com/google-research/football
NetEase/pomelo,"        A fast,scalable,distributed ",https://github.com/NetEase/pomelo
9miao/Firefly,        Distributed ,https://github.com/9miao/Firefly
braydondavis/Nerd-,        The Nerd ,https://github.com/braydondavis/Nerd-Gaming-Public
ellisonleao/clumsy-bird,        ,https://github.com/ellisonleao/clumsy-bird
haqu/tweejump,        iPhone ,https://github.com/haqu/tweejump
4ian/GDevelop,        :video_,https://github.com/4ian/GDevelop
villers/HTML5_,"        Agar.io clone written with Socket.IO and Phaser
      ",https://github.com/villers/HTML5_Gaming
nyanhp/AzureCloud,        Cloud ,https://github.com/nyanhp/AzureCloudGaming
Austinb/GameQ,"        A PHP Gameserver Status Query Library
      ",https://github.com/Austinb/GameQ
Armour/Multiplayer-FPS,        :video_,https://github.com/Armour/Multiplayer-FPS
